"Example
",GDTD,5x5_Dots,"dotOCRDData1
",Dotrice,DotMatrix,DisplayDots,LCDDot,Orario,Transit
ex_10,25.99999905,13,18,56.90909091,41.21428571,42.66666667,29.23076923,11.42857143,45.33333333
ex_11,99,86.125,86.75,76.125,86.125,83,57.375,79.25,80.5
ex_12,99,95.55555556,53.2,96,96,88,96,96,96
ex_13,68.214285,78.08333333,43.91666667,52.25,55,74.69230769,56.4,63.58333333,68.7692
ex_14,69.92,34.08333333,40.46153846,60.27272727,55.76923077,33.75,60.38461538,30.30769231,35.75
ex_15,46.67,79.41666667,17.58333333,80.5,67.41666667,90.16666667,66,64.08333333,77.0833333
ex_16,0,0,0,0,0,0,0,0,0
ex_17,62.00000048,69,31,62,0,46,2,0,28.0]
ex_18,96.33333286,73.09090909,40.7,76.90909091,64.63636364,70.91666667,49.33333333,76.66666667,65.33333333
ex_19,93.49999875,72.33333333,43.6,80.25,89.83333333,64.25,62.83333333,73.5,55.58333333
ex_1,80.22222188,64.14285714,19.36842105,93.26315789,75.63157895,72.45,68.7,66.57894737,69.63157895
ex_20,0,0,0,0,0,0,0,0,0
ex_21,94.09091039,79.18181818,91,83,60.81818182,92.36363636,70.09090909,87.90909091,77
ex_22,86.54545383,78,45.16666667,62.27272727,43.81818182,45.83333333,4.083333333,37.09090909,39.09090909
ex_23,39.41666769,85.16666667,61.81818182,83.91666667,58.27272727,45.91666667,64.36363636,85.36363636,51.83333333
ex_24,63.99999857,36,74,22.14285714,68,45,24,45,25
ex_25,83.58333309,28.75,70.5,26.4,62.75,36.36363636,64.38461538,75.91666667,51
ex_26,90.42857162,36.71428571,57,44.14285714,66.28571429,61,30.54545455,79.57142857,46
ex_27,90.75000137,51.33333333,33.69230769,75.18181818,89.33333333,80.08333333,90.58333333,89.66666667,88.75
ex_28,73.7500002,84,55.75,89.75,79.41666667,51.76923077,84.08333333,90.33333333,84.83333333
ex_29,91.91666817,77.58333333,21,70.36363636,75.30769231,63.83333333,56.69230769,73.66666667,72.75
ex_2,89.66666609,79,56.5,78.2,72.44444444,71.22222222,59.1,77,58
ex_30,98.42857293,23,16,35,15,78,38,6,0
ex_31,96.92307894,0,0,0,0,0,0,0,0
ex_32,88.25000152,61.66666667,77.09090909,75.33333333,65.66666667,62.16666667,53.38461538,56.83333333,60.92307692
ex_33,81.73333406,64.5,46.75,55.45454545,47.69230769,63,75.46153846,64.5,84.58333333
ex_34,87.91666627,40.07692308,25,63.27272727,31.61538462,52.46153846,58.58333333,28.92857143,46.08333333
ex_35,97.46154088,45.23076923,65.61538462,52.15384615,89.15384615,39.23076923,20.57142857,89.92307692,91.46153846
ex_36,87.05555697,65.82352941,17.5,80.83333333,81.16666667,60.875,81.72222222,75.66666667,84.66666667
ex_37,73.00000191,68,51,19,40,69,20,4,33
ex_38,87.78571401,43.07692308,40.28571429,50.61538462,41.64285714,49.66666667,51.14285714,75.85714286,49.21428571
ex_39,99.00000095,83,85,72,91,84,90,73,90
ex_3,89.49999859,37.07692308,53.81818182,49,73.41666667,53.61538462,84.25,26.15384615,61.58333333
ex_40,92.00000167,49,48,3,0,66.625,50.375,89,10.66666667
ex_41,51.15384574,0,0,0,0,0,0,0,0
ex_42,75.66666566,83.27272727,44.14285714,79.91666667,88.83333333,71.83333333,77,84.33333333,87.33333333
ex_43,94.083335,54.18181818,56.63636364,89.72727273,67.33333333,90.83333333,58,91.58333333,59.53846154
ex_44,99.00000095,54.42857143,43.91666667,79.91666667,46.5,61.53846154,58.16666667,46.61538462,55.53846154
ex_45,91.33333266,89.66666667,56.5,77.25,70.58333333,54,71.83333333,48.14285714,50.27272727
ex_46,88.91666581,18.64285714,51.09090909,35.63636364,58,71.61538462,60.08333333,81.25,74.41666667
ex_47,87.00000048,80,54,4,89,78,48,89,71
ex_48,0,26,69,51.4,0,44,19.6,62,48
ex_49,99.00000095,88,85,80,60,51,44,62,52
ex_4,88.54545572,72.9,26.25,54.6,7.090909091,38.63636364,66.18181818,45.66666667,52.81818182
