Example,Google Text Detection No Image Processing,Tesseract Ensemble No Image Processing,Google Text Detection My Image Processing,Tesseract Ensemble My Image Processing
ex_1,84.00%,100.00%,96.00%,100.00%
ex_10,0.00%,7.69%,0.00%,0.00%
ex_11,100.00%,100.00%,100.00%,90.00%
ex_12,100.00%,100.00%,100.00%,100.00%
ex_13,78.57%,64.29%,78.57%,92.86%
ex_14,14.29%,7.14%,71.43%,78.57%
ex_15,0.00%,92.86%,0.00%,85.71%
ex_16,30.77%,7.69%,0.00%,0.00%
ex_17,100.00%,100.00%,100.00%,83.33%
ex_18,85.71%,7.14%,100.00%,78.57%
ex_19,92.86%,85.71%,92.86%,92.86%
ex_2,100.00%,64.29%,100.00%,64.29%
ex_20,0.00%,7.69%,0.00%,0.00%
ex_21,100.00%,100.00%,100.00%,100.00%
ex_22,76.92%,84.62%,92.31%,84.62%
ex_23,28.57%,7.14%,92.86%,85.71%
ex_24,0.00%,62.50%,100.00%,100.00%
ex_25,92.86%,85.71%,100.00%,85.71%
ex_26,80.00%,96.00%,0.00%,88.00%
ex_27,78.57%,85.71%,92.86%,92.86%
ex_28,92.86%,92.86%,100.00%,92.86%
ex_29,92.86%,7.14%,92.86%,92.86%
ex_3,92.86%,85.71%,92.86%,92.86%
ex_30,0.00%,75.00%,0.00%,75.00%
ex_31,0.00%,71.43%,0.00%,0.00%
ex_32,100.00%,64.29%,100.00%,92.86%
ex_33,78.57%,85.71%,57.14%,85.71%
ex_34,64.29%,78.57%,78.57%,85.71%
ex_35,93.33%,93.33%,100.00%,100.00%
ex_36,90.91%,95.45%,90.91%,100.00%
ex_37,60.00%,10.00%,0.00%,90.00%
ex_38,82.35%,88.24%,94.12%,76.47%
ex_39,14.29%,100.00%,0.00%,100.00%
ex_4,71.43%,7.14%,92.86%,35.71%
ex_40,0.00%,100.00%,0.00%,100.00%
ex_41,0.00%,73.33%,60.00%,0.00%
ex_42,78.57%,92.86%,85.71%,92.86%
ex_43,92.86%,100.00%,92.86%,92.86%
ex_44,71.43%,85.71%,78.57%,85.71%
ex_45,0.00%,92.86%,71.43%,85.71%
ex_46,85.71%,85.71%,85.71%,92.86%
ex_47,85.71%,100.00%,85.71%,100.00%
ex_48,0.00%,100.00%,0.00%,85.71%
ex_49,100.00%,100.00%,100.00%,100.00%
ex_5,100.00%,92.86%,100.00%,100.00%
ex_50,83.33%,100.00%,83.33%,100.00%
ex_51,100.00%,100.00%,100.00%,100.00%
ex_52,88.89%,88.89%,100.00%,77.78%
ex_53,100.00%,100.00%,100.00%,100.00%
ex_54,0.00%,25.00%,0.00%,0.00%
ex_55,100.00%,100.00%,100.00%,100.00%
ex_56,100.00%,100.00%,100.00%,100.00%
ex_57,-150.00%,16.67%,0.00%,0.00%
ex_58,100.00%,100.00%,100.00%,100.00%
ex_59,0.00%,8.33%,0.00%,8.33%
ex_6,85.71%,78.57%,92.86%,85.71%
ex_60,100.00%,100.00%,100.00%,100.00%
ex_61,100.00%,71.43%,100.00%,100.00%
ex_62,0.00%,66.67%,0.00%,0.00%
ex_63,0.00%,20.00%,0.00%,0.00%
ex_64,-54.55%,63.64%,0.00%,90.91%
ex_65,100.00%,100.00%,100.00%,100.00%
ex_66,100.00%,90.00%,80.00%,90.00%
ex_67,100.00%,94.44%,83.33%,94.44%
ex_68,0.00%,100.00%,0.00%,100.00%
ex_69,0.00%,85.71%,57.14%,57.14%
ex_7,100.00%,92.86%,92.86%,92.86%
ex_70,66.67%,16.67%,66.67%,83.33%
ex_71,0.00%,16.67%,0.00%,0.00%
ex_72,100.00%,100.00%,100.00%,100.00%
ex_73,90.91%,72.73%,90.91%,90.91%
ex_74,100.00%,100.00%,100.00%,0.00%
ex_75,92.86%,92.86%,92.86%,85.71%
ex_8,92.86%,92.86%,92.86%,92.86%
ex_9,25.00%,8.33%,0.00%,83.33%
Average ,60.17%,72.62%,66.79%,75.90%
"Perfect
",21,22,24,22
