"Example
",No Training,Google Document Text Detection with my image processing,5x5_Dots,"dotOCRDData1
",Dotrice,DotMatrix,DisplayDots,LCDDot,Orario,Transit,Ensemble,Best,Count Best,Worst
ex_10,-7.69%,0.00%,-7.69%,23.08%,-7.69%,-23.08%,0.00%,-15.38%,-84.62%,-38.46%,0.00%,23.08%,1,-84.62%
ex_11,100.00%,100.00%,90.00%,90.00%,90.00%,100.00%,90.00%,100.00%,90.00%,100.00%,100.00%,100.00%,4,90.00%
ex_12,100.00%,100.00%,100.00%,91.67%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,8,91.67%
ex_13,85.71%,21.43%,92.86%,85.71%,92.86%,64.29%,71.43%,50.00%,85.71%,78.57%,92.86%,92.86%,2,21.43%
ex_14,28.57%,92.86%,71.43%,71.43%,71.43%,50.00%,64.29%,78.57%,71.43%,78.57%,92.86%,92.86%,1,50.00%
ex_15,85.71%,50.00%,92.86%,71.43%,92.86%,85.71%,85.71%,92.86%,85.71%,92.86%,85.71%,92.86%,4,50.00%
ex_16,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9,0.00%
ex_17,16.67%,50.00%,83.33%,50.00%,83.33%,50.00%,66.67%,83.33%,33.33%,50.00%,83.33%,83.33%,3,33.33%
ex_18,42.86%,100.00%,71.43%,71.43%,71.43%,78.57%,85.71%,78.57%,78.57%,78.57%,100.00%,100.00%,1,71.43%
ex_19,92.86%,100.00%,92.86%,85.71%,92.86%,92.86%,92.86%,100.00%,100.00%,100.00%,100.00%,100.00%,4,85.71%
ex_1,96.00%,92.00%,92.00%,76.00%,100.00%,92.00%,64.00%,92.00%,100.00%,100.00%,100.00%,100.00%,3,64.00%
ex_20,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9,0.00%
ex_21,84.62%,92.31%,92.31%,100.00%,92.31%,84.62%,92.31%,100.00%,100.00%,100.00%,92.31%,100.00%,4,84.62%
ex_22,53.85%,100.00%,84.62%,84.62%,84.62%,61.54%,53.85%,61.54%,69.23%,69.23%,100.00%,100.00%,1,53.85%
